entry_date,dataset_condition,evidence_status,score,ndx_close,underlying,underlying_mid,ndx_to_future_basis_pct,expiration,dte_calendar,standard_short_strike,defensive_short_strike,short_strike_separation_points,short_strike_separation_pct_of_future,standard_short_pct_below_future,defensive_short_pct_below_future,standard_natural_credit,defensive_natural_credit,natural_credit_haircut_points,standard_mid_credit,defensive_mid_credit,mid_credit_haircut_points,standard_mid_floor_pass,defensive_mid_floor_pass,mid_haircut_within_2_91_proxy_tolerance
2026-04-10,degraded,exploratory,2,25116.34,MNQM6,25277.125,0.6401609470169545,2026-05-15 20:00:00+00:00,35,22400.0,21400.0,1000.0,3.9561461202569514,11.382326906244282,15.338473026501234,-14.0,-16.5,2.5,8.75,4.625,4.125,True,False,False
2026-04-17,available,clean_pilot,2,26672.43,MNQM6,26823.0,0.5645154940888464,2026-05-15 20:00:00+00:00,28,23750.0,22900.0,850.0,3.1689221936397867,11.456585765947134,14.625507959586923,-10.0,-11.25,1.25,4.875,0.75,4.125,False,False,False
