candidate_flag_count,observations,observation_share,failures,failure_rate,failure_rate_lift,failure_capture,touches,touch_rate,clustered_failures,average_expiration_return,fifth_percentile_expiration_return,first_percentile_expiration_return,fifth_percentile_maximum_adverse_return
0,537,0.48818181818181816,6,0.0111731843575419,0.6145251396648045,0.3,18,0.0335195530726257,4,0.010604436917231046,-0.06721480129236068,-0.09700304417237651,-0.09186725829809048
1,366,0.3327272727272727,5,0.01366120218579235,0.7513661202185793,0.25,22,0.060109289617486336,2,0.015929044495418262,-0.08259343306960967,-0.11367639579308658,-0.11368230805858781
2,150,0.13636363636363635,6,0.04,2.2,0.3,16,0.10666666666666667,3,0.013136343821970703,-0.10785883752705865,-0.2704936978291914,-0.16154807703269516
3,47,0.042727272727272725,3,0.06382978723404255,3.5106382978723403,0.15,8,0.1702127659574468,3,0.001474049803676815,-0.13131810255507276,-0.21146003530064533,-0.16461800968794502
