regime_signature,active_flag_count,observations,observation_share,failures,failure_rate,failure_rate_lift,failure_capture,touches,touch_rate,clustered_failures,average_expiration_return,fifth_percentile_expiration_return,first_percentile_expiration_return,fifth_percentile_maximum_adverse_return
None,0,537,0.48818181818181816,6,0.0111731843575419,0.6145251396648045,0.3,18,0.0335195530726257,4,0.010604436917231046,-0.06721480129236068,-0.09700304417237651,-0.09186725829809048
Weekly range at least 120% of prior ATR,1,139,0.12636363636363637,3,0.02158273381294964,1.1870503597122304,0.15,8,0.05755395683453238,1,0.01345057944188931,-0.07855537125086845,-0.10651152611535725,-0.10463140725731944
Rolling four-week range at least 120% of prior ATR,1,111,0.1009090909090909,1,0.009009009009009009,0.49549549549549554,0.05,6,0.05405405405405406,1,0.008858124670160256,-0.06911372019316137,-0.10264464509919663,-0.10118604689497235
NDX below 40-week SMA,1,116,0.10545454545454545,1,0.008620689655172414,0.47413793103448276,0.05,8,0.06896551724137931,0,0.025665068142350707,-0.0966981988065545,-0.12083886906725415,-0.1227055441008719
Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA,2,33,0.03,3,0.09090909090909091,5.0,0.15,6,0.18181818181818182,2,-0.0025474477929286862,-0.19338839967109667,-0.2812809243994347,-0.22265063578173927
Rolling four-week range at least 120% of prior ATR + Weekly range at least 120% of prior ATR,2,88,0.08,3,0.03409090909090909,1.875,0.15,7,0.07954545454545454,1,0.017258250524122498,-0.09158174605608625,-0.17386527233190452,-0.12176010533565651
NDX below 40-week SMA + Weekly range at least 120% of prior ATR,2,29,0.026363636363636363,0,0.0,0.0,0.0,3,0.10344827586206896,0,0.018475562218602484,-0.08491518601885129,-0.10799197187699155,-0.14033559246064417
Rolling four-week range at least 120% of prior ATR + NDX below 40-week SMA + Weekly range at least 120% of prior ATR,3,47,0.042727272727272725,3,0.06382978723404255,3.5106382978723403,0.15,8,0.1702127659574468,3,0.001474049803676815,-0.13131810255507276,-0.21146003530064533,-0.16461800968794502
