factor_a_id,factor_a_label,factor_b_id,factor_b_label,factor_a_observations,factor_b_observations,both_observations,both_share_of_factor_a,both_share_of_factor_b,jaccard_overlap,phi_correlation,factor_a_failures,factor_b_failures,shared_failures,shared_failure_share_a,shared_failure_share_b,both_failure_rate,factor_a_only_failure_rate,factor_b_only_failure_rate,neither_failure_rate,both_failure_rate_lift,both_failure_capture,both_vs_neither_fisher_p
expanded_rolling_four_week,Rolling four-week range at least 120% of prior ATR,below_40_week_sma,NDX below 40-week SMA,279,225,80,0.2867383512544803,0.35555555555555557,0.18867924528301888,0.1187851660562657,10,7,6,0.6,0.8571428571428571,0.075,0.020100502512562814,0.006896551724137931,0.013313609467455622,4.125,0.3,0.002679008510013219
expanded_rolling_four_week,Rolling four-week range at least 120% of prior ATR,expanded_week,Weekly range at least 120% of prior ATR,279,303,135,0.4838709677419355,0.44554455445544555,0.30201342281879195,0.2719597728319894,10,9,6,0.6,0.6666666666666666,0.044444444444444446,0.027777777777777776,0.017857142857142856,0.010719754977029096,2.4444444444444446,0.3,0.013712018744773184
below_40_week_sma,NDX below 40-week SMA,expanded_week,Weekly range at least 120% of prior ATR,225,303,76,0.3377777777777778,0.2508250825082508,0.168141592920354,0.07074233852956872,7,9,3,0.42857142857142855,0.3333333333333333,0.039473684210526314,0.026845637583892617,0.02643171806167401,0.010802469135802469,2.1710526315789473,0.15,0.07766702124227332
