entry_date,bucket,vix_close,ladder_distance_pct,underlying,underlying_mid,ladder_target_strike,expiration,dte_calendar,exact_150_point_pairs,pairs_at_or_below_target,feasible,best_short_at_or_below_target,best_long_strike,target_to_best_short_slippage_points
2020-09-04,30_to_35,30.75,15.0,MNQZ0,11629.75,9885.2875,2020-09-30 20:00:00+00:00,26,409,32,True,9880.0,9730.0,5.287500000000364
2020-10-30,35_to_40,38.02,15.0,MNQZ0,10997.0,9347.449999999999,2020-11-27 21:00:00+00:00,28,377,29,True,9340.0,9190.0,7.449999999998909
2020-10-30,35_to_40,38.02,15.0,MNQZ0,10997.0,9347.449999999999,2020-11-30 21:00:00+00:00,31,485,54,True,9340.0,9190.0,7.449999999998909
2022-02-25,25_to_30,27.59,15.0,MNQM2,14152.0,12029.199999999999,2022-03-31 20:00:00+00:00,34,675,64,True,12020.0,11870.0,9.199999999998909
2022-05-13,25_to_30,28.87,15.0,MNQM2,12380.375,10523.31875,2022-06-17 13:30:00+00:00,35,156,29,True,10500.0,10350.0,23.318750000000364
2022-07-15,20_to_25,24.23,12.5,MNQU2,11983.0,10485.125,2022-08-12 20:00:00+00:00,28,253,32,True,10450.0,10300.0,35.125
2022-07-15,20_to_25,24.23,12.5,MNQU2,11983.0,10485.125,2022-08-19 20:00:00+00:00,35,116,40,True,10450.0,10300.0,35.125
2023-05-26,15_to_20,17.95,10.5,MNQU3,14520.75,12996.07125,2023-06-23 20:00:00+00:00,28,70,24,True,12950.0,12800.0,46.07125000000087
2023-05-26,15_to_20,17.95,10.5,MNQU3,14520.75,12996.07125,2023-06-30 20:00:00+00:00,35,29,16,True,12900.0,12750.0,96.07125000000087
2023-11-10,below_15,14.17,9.0,MNQZ3,15596.125,14192.473750000001,2023-12-08 21:00:00+00:00,28,73,23,True,14150.0,14000.0,42.47375000000102
2023-11-10,below_15,14.17,9.0,MNQZ3,15596.125,14192.473750000001,2023-12-15 14:30:00+00:00,35,23,11,True,13900.0,13750.0,292.473750000001
2024-03-15,below_15,14.41,9.0,MNQM4,18069.0,16442.79,2024-04-12 20:00:00+00:00,28,88,17,True,16400.0,16250.0,42.79000000000087
2024-03-15,below_15,14.41,9.0,MNQM4,18069.0,16442.79,2024-04-19 20:00:00+00:00,35,25,9,True,16400.0,16250.0,42.79000000000087
2024-09-06,20_to_25,22.38,12.5,MNQZ4,18701.75,16364.03125,2024-10-04 20:00:00+00:00,28,12,0,False,,,
2025-04-04,over_40,45.31,15.0,MNQM5,17803.75,15133.1875,2025-04-30 20:00:00+00:00,26,30,0,False,,,
2025-04-04,over_40,45.31,15.0,MNQM5,17803.75,15133.1875,2025-05-02 20:00:00+00:00,28,16,0,False,,,
2025-04-11,35_to_40,37.56,15.0,MNQM5,18841.0,16014.85,2025-05-09 20:00:00+00:00,28,14,0,False,,,
2025-04-11,35_to_40,37.56,15.0,MNQM5,18841.0,16014.85,2025-05-16 20:00:00+00:00,35,29,5,True,15900.0,15750.0,114.85000000000036
2025-10-24,15_to_20,16.37,10.5,MNQZ5,25542.875,22860.873125000002,2025-11-21 21:00:00+00:00,28,24,7,True,22750.0,22600.0,110.87312500000189
2025-10-24,15_to_20,16.37,10.5,MNQZ5,25542.875,22860.873125000002,2025-11-28 21:00:00+00:00,35,24,7,True,22750.0,22600.0,110.87312500000189
