entry_date,bucket,vix_close,ladder_distance_pct,expiration,dte_calendar,underlying,underlying_mid,ladder_target_strike,selected_short_strike,selected_long_strike,leg_name,strike_price,raw_symbol,target_entry_timestamp_utc
2020-09-04,30_to_35,30.75,15.0,2020-09-30 20:00:00+00:00,26,MNQZ0,11629.75,9885.2875,9880.0,9730.0,long_put,9730.0,MQEU0 P0973,2020-09-04 19:45:00+00:00
2020-09-04,30_to_35,30.75,15.0,2020-09-30 20:00:00+00:00,26,MNQZ0,11629.75,9885.2875,9880.0,9730.0,short_put,9880.0,MQEU0 P0988,2020-09-04 19:45:00+00:00
2020-10-30,35_to_40,38.02,15.0,2020-11-27 21:00:00+00:00,28,MNQZ0,10997.0,9347.449999999999,9340.0,9190.0,long_put,9190.0,MQ4X0 P0919,2020-10-30 19:45:00+00:00
2020-10-30,35_to_40,38.02,15.0,2020-11-27 21:00:00+00:00,28,MNQZ0,10997.0,9347.449999999999,9340.0,9190.0,short_put,9340.0,MQ4X0 P0934,2020-10-30 19:45:00+00:00
2022-02-25,25_to_30,27.59,15.0,2022-03-31 20:00:00+00:00,34,MNQM2,14152.0,12029.199999999999,12020.0,11870.0,long_put,11870.0,MQEH2 P1187,2022-02-25 20:45:00+00:00
2022-02-25,25_to_30,27.59,15.0,2022-03-31 20:00:00+00:00,34,MNQM2,14152.0,12029.199999999999,12020.0,11870.0,short_put,12020.0,MQEH2 P1202,2022-02-25 20:45:00+00:00
2022-05-13,25_to_30,28.87,15.0,2022-06-17 13:30:00+00:00,35,MNQM2,12380.375,10523.31875,10500.0,10350.0,long_put,10350.0,MNQM2 P1035,2022-05-13 19:45:00+00:00
2022-05-13,25_to_30,28.87,15.0,2022-06-17 13:30:00+00:00,35,MNQM2,12380.375,10523.31875,10500.0,10350.0,short_put,10500.0,MNQM2 P1050,2022-05-13 19:45:00+00:00
2022-07-15,20_to_25,24.23,12.5,2022-08-12 20:00:00+00:00,28,MNQU2,11983.0,10485.125,10450.0,10300.0,long_put,10300.0,MQ2Q2 P1030,2022-07-15 19:45:00+00:00
2022-07-15,20_to_25,24.23,12.5,2022-08-12 20:00:00+00:00,28,MNQU2,11983.0,10485.125,10450.0,10300.0,short_put,10450.0,MQ2Q2 P1045,2022-07-15 19:45:00+00:00
2023-05-26,15_to_20,17.95,10.5,2023-06-23 20:00:00+00:00,28,MNQU3,14520.75,12996.07125,12950.0,12800.0,long_put,12800.0,MQ4M3 P12800,2023-05-26 19:45:00+00:00
2023-05-26,15_to_20,17.95,10.5,2023-06-23 20:00:00+00:00,28,MNQU3,14520.75,12996.07125,12950.0,12800.0,short_put,12950.0,MQ4M3 P12950,2023-05-26 19:45:00+00:00
2023-11-10,below_15,14.17,9.0,2023-12-08 21:00:00+00:00,28,MNQZ3,15596.125,14192.473750000001,14150.0,14000.0,long_put,14000.0,MQ2Z3 P14000,2023-11-10 20:45:00+00:00
2023-11-10,below_15,14.17,9.0,2023-12-08 21:00:00+00:00,28,MNQZ3,15596.125,14192.473750000001,14150.0,14000.0,short_put,14150.0,MQ2Z3 P14150,2023-11-10 20:45:00+00:00
2024-03-15,below_15,14.41,9.0,2024-04-12 20:00:00+00:00,28,MNQM4,18069.0,16442.79,16400.0,16250.0,long_put,16250.0,MQ2J4 P16250,2024-03-15 19:45:00+00:00
2024-03-15,below_15,14.41,9.0,2024-04-12 20:00:00+00:00,28,MNQM4,18069.0,16442.79,16400.0,16250.0,short_put,16400.0,MQ2J4 P16400,2024-03-15 19:45:00+00:00
2025-04-11,35_to_40,37.56,15.0,2025-05-16 20:00:00+00:00,35,MNQM5,18841.0,16014.85,15900.0,15750.0,long_put,15750.0,MQ3K5 P15750,2025-04-11 19:45:00+00:00
2025-04-11,35_to_40,37.56,15.0,2025-05-16 20:00:00+00:00,35,MNQM5,18841.0,16014.85,15900.0,15750.0,short_put,15900.0,MQ3K5 P15900,2025-04-11 19:45:00+00:00
2025-10-24,15_to_20,16.37,10.5,2025-11-21 21:00:00+00:00,28,MNQZ5,25542.875,22860.873125000002,22750.0,22600.0,long_put,22600.0,MQ3X5 P22600,2025-10-24 19:45:00+00:00
2025-10-24,15_to_20,16.37,10.5,2025-11-21 21:00:00+00:00,28,MNQZ5,25542.875,22860.873125000002,22750.0,22600.0,short_put,22750.0,MQ3X5 P22750,2025-10-24 19:45:00+00:00
