predictive_rank,model_id,model_label,complexity,observations,failures,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_observation_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,failure_capture_efficiency,odds_ratio,fisher_p_value,direction_supportive,pooled_model_brier_score,pooled_baseline_brier_score,pooled_brier_skill_vs_baseline,pooled_model_log_loss,pooled_baseline_log_loss,pooled_log_loss_improvement,supportive_test_folds,informative_test_folds,supportive_informative_folds,positive_brier_folds,brier_difference_vs_full,log_loss_difference_vs_full,failure_rate_lift_difference_vs_full,capture_efficiency_difference_vs_full
1,atr_both,Both ATR expansion flags,2,805,12,705,8,0.011347517730496455,100,0.12422360248447205,4,0.04,3.525,0.3333333333333333,2.683333333333333,3.6302083333333335,0.05044333132061887,True,0.014747378034436445,0.014800061457132047,0.003559675941089746,0.07866731325589962,0.08028462470598391,0.0016173114500842856,4,4,4,4,-1.0896376979816977e-05,0.0007221324116947897,0.07261904761904736,0.2527777777777773
2,full_three_factor_score,Full score: at least 2 of 3 flags,3,805,12,667,7,0.010494752623688156,138,0.17142857142857143,5,0.036231884057971016,3.4523809523809526,0.4166666666666667,2.430555555555556,3.544575725026853,0.03935465762690368,True,0.014758274411416262,0.014800061457132047,0.0028234373105017196,0.07794518084420483,0.08028462470598391,0.0023394438617790753,4,4,4,4,0.0,0.0,0.0,0.0
3,rolling_atr_only,Rolling four-week ATR expansion only,1,805,12,603,6,0.009950248756218905,202,0.25093167701863356,6,0.0297029702970297,2.985148514851485,0.5,1.9925742574257423,3.045918367346939,0.08429666040661794,True,0.014777493352661437,0.014800061457132047,0.0015248655916718645,0.07858405372776425,0.08028462470598391,0.0017005709782196565,4,4,4,2,1.9218941245175217e-05,0.0006388728835594187,-0.4672324375294674,-0.43798129812981346
4,any_one_flag,Any one of the three flags,3,805,12,397,4,0.010075566750629723,408,0.506832298136646,8,0.0196078431372549,1.946078431372549,0.6666666666666666,1.3153594771241828,1.965,0.38461254160647707,True,0.014820662249351909,0.014800061457132047,-0.0013919396402191087,0.08011151247937086,0.08028462470598391,0.0001731122266130508,3,4,3,3,6.238783793564677e-05,0.0021663316351660244,-1.5063025210084036,-1.115196078431373
5,weekly_atr_only,Weekly ATR expansion only,1,805,12,566,6,0.01060070671378092,239,0.2968944099378882,6,0.02510460251046025,2.3682008368200833,0.5,1.6841004184100419,2.40343347639485,0.19823761805938278,True,0.01482856497150351,0.014800061457132047,-0.0019259051358686552,0.07995089885141211,0.08028462470598391,0.00033372585457179527,4,4,4,2,7.029056008724804e-05,0.00200571800720728,-1.0841801155608692,-0.7464551371455139
6,atr_any,Either ATR expansion flag,2,805,12,464,4,0.008620689655172414,341,0.4236024844720497,8,0.02346041055718475,2.7214076246334313,0.6666666666666666,1.573802541544477,2.7627627627627627,0.13800979377363642,True,0.014838598718058291,0.014800061457132047,-0.002603858168958695,0.0796133693111815,0.08028462470598391,0.0006712553948024086,3,4,3,2,8.032430664202915e-05,0.0016681884669766667,-0.7309733277475212,-0.8567530140110788
7,trend_only,Below 40-week SMA only,1,805,12,667,10,0.014992503748125937,138,0.17142857142857143,2,0.014492753623188406,0.9666666666666667,0.16666666666666666,0.9722222222222222,0.9661764705882353,1.0,False,0.014921003925637014,0.014800061457132047,-0.008171754479214366,0.0816911591281101,0.08028462470598391,-0.001406534422126196,1,4,1,1,0.0001627295142207514,0.0037459782839052713,-2.4857142857142858,-1.4583333333333335
