expiration,dte_calendar,underlying,asset,candidate_type,target_short_strike,feasible,reason,nearest_unconstrained_short_strike,selected_short_strike,selected_long_strike,short_distance_below_target_points,available_strikes,expiration_included_in_quote_pilot
2026-06-05 20:00:00+00:00,28,MNQM6,MQ1,defensive,25288.27,True,Executable,25250.0,25250.0,25100.0,38.27000000000044,"24800, 24900, 25000, 25100, 25200, 25250, 25300, 25400, 25500, 25600, 25700, 25750, 25800, 25900, 26000, 26100, 26200, 26250, 26300, 26400, 26500, 26600",True
2026-06-05 20:00:00+00:00,28,MNQM6,MQ1,standard,26165.32,True,Executable,26100.0,25900.0,25750.0,265.3199999999997,"24800, 24900, 25000, 25100, 25200, 25250, 25300, 25400, 25500, 25600, 25700, 25750, 25800, 25900, 26000, 26100, 26200, 26250, 26300, 26400, 26500, 26600",True
2026-06-12 20:00:00+00:00,35,MNQM6,MQ2,defensive,25288.27,False,No exact 150-point-wide pair at or below target,25250.0,,,,"25000, 25250, 25500, 25750, 25900, 26000, 26100, 26200, 26250, 26300, 26400, 26500, 26600",False
2026-06-12 20:00:00+00:00,35,MNQM6,MQ2,standard,26165.32,True,Executable,26100.0,25900.0,25750.0,265.3199999999997,"25000, 25250, 25500, 25750, 25900, 26000, 26100, 26200, 26250, 26300, 26400, 26500, 26600",False
