expiration,dte_calendar,underlying,asset,candidate_type,target_short_strike,selected_short_strike,selected_long_strike,spread_width_points,complete_leg_quotes,short_symbol,long_symbol,short_quote_timestamp_utc,long_quote_timestamp_utc,short_quote_age_seconds,long_quote_age_seconds,short_bid,short_ask,long_bid,long_ask,natural_credit_points,mid_credit_points,optimistic_credit_points,natural_credit_floor_pass,mid_credit_floor_pass,standard_natural_credit,defensive_natural_credit,natural_credit_haircut_points,standard_mid_credit,defensive_mid_credit,mid_credit_haircut_points,natural_haircut_within_proxy_tolerance,mid_haircut_within_proxy_tolerance
2026-06-05 20:00:00+00:00,28.0,MNQM6,MQ1,defensive,25288.27,25250.0,25100.0,150.0,True,MQ1M6 P25250,MQ1M6 P25100,2026-05-08 19:44:31+00:00,2026-05-08 19:44:51+00:00,29.0,9.0,35.5,59.5,32.25,55.75,-20.25,3.5,27.25,False,False,-19.5,-20.25,0.75,5.75,3.5,2.25,True,True
2026-06-05 20:00:00+00:00,28.0,MNQM6,MQ1,standard,26165.32,25900.0,25750.0,150.0,True,MQ1M6 P25900,MQ1M6 P25750,2026-05-08 19:44:54+00:00,2026-05-08 19:44:54+00:00,6.0,6.0,55.5,80.75,49.75,75.0,-19.5,5.75,31.0,False,False,-19.5,-20.25,0.75,5.75,3.5,2.25,True,True
