robustness_rank,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,odds_ratio,fisher_p_value,2005_2012_elevated_observations,2005_2012_elevated_failures,2005_2012_elevated_failure_rate,2005_2012_normal_failure_rate,2005_2012_lift,2013_2019_elevated_observations,2013_2019_elevated_failures,2013_2019_elevated_failure_rate,2013_2019_normal_failure_rate,2013_2019_lift,2020_2026_elevated_observations,2020_2026_elevated_failures,2020_2026_elevated_failure_rate,2020_2026_normal_failure_rate,2020_2026_lift,rolling4w_atr_threshold,weekly_atr_threshold,sma_length_weeks,elevated_score_cutoff,higher_risk_subperiods,minimum_subperiod_lift,median_subperiod_lift,cluster_tests_higher,cluster_test_count,minimum_cluster_removal_lift,median_cluster_removal_lift,is_anchor_definition,classification
87,867,10,0.011534025374855825,233,0.21181818181818182,10,0.04291845493562232,3.721030042918455,0.5,3.8430493273542603,0.003723906476294628,93,5,0.053763440860215055,0.013071895424836602,4.112903225806452,63,1,0.015873015873015872,0.006622516556291391,2.3968253968253967,77,4,0.05194805194805195,0.015444015444015444,3.3636363636363638,1.15,1.15,35,2,3,2.3968253968253967,3.3636363636363638,13,13,2.3013333333333335,3.79295154185022,False,Robust
66,875,10,0.011428571428571429,225,0.20454545454545456,10,0.044444444444444446,3.888888888888889,0.5,4.023255813953488,0.002824719998875578,88,5,0.056818181818181816,0.012861736334405145,4.417613636363637,62,1,0.016129032258064516,0.006600660066006601,2.443548387096774,75,4,0.05333333333333334,0.01532567049808429,3.4800000000000004,1.15,1.15,40,2,3,2.443548387096774,3.4800000000000004,13,13,2.408294930875576,3.9680365296803655,False,Robust
67,874,10,0.011441647597254004,226,0.20545454545454545,10,0.04424778761061947,3.8672566371681416,0.5,4.0,0.0029261443933888466,88,5,0.056818181818181816,0.012861736334405145,4.417613636363637,63,1,0.015873015873015872,0.006622516556291391,2.3968253968253967,75,4,0.05333333333333334,0.01532567049808429,3.4800000000000004,1.15,1.15,45,2,3,2.3968253968253967,3.4800000000000004,13,13,2.408294930875576,3.9454545454545453,False,Robust
70,874,10,0.011441647597254004,226,0.20545454545454545,10,0.04424778761061947,3.8672566371681416,0.5,4.0,0.0029261443933888466,91,5,0.054945054945054944,0.012987012987012988,4.230769230769231,61,1,0.01639344262295082,0.006578947368421052,2.4918032786885247,74,4,0.05405405405405406,0.015267175572519083,3.540540540540541,1.15,1.2,35,2,3,2.4918032786885247,3.540540540540541,13,13,2.3944954128440368,3.9454545454545453,False,Robust
46,882,10,0.011337868480725623,218,0.19818181818181818,10,0.045871559633027525,4.045871559633028,0.5,4.1923076923076925,0.002193215202218559,86,5,0.05813953488372093,0.012779552715654952,4.549418604651163,60,1,0.016666666666666666,0.006557377049180328,2.5416666666666665,72,4,0.05555555555555555,0.015151515151515152,3.6666666666666665,1.15,1.2,40,2,3,2.5416666666666665,3.6666666666666665,13,13,2.5085714285714285,4.132075471698113,False,Robust
52,880,10,0.011363636363636364,220,0.2,10,0.045454545454545456,4.0,0.5,4.142857142857143,0.0023602688969490597,87,5,0.05747126436781609,0.01282051282051282,4.482758620689656,61,1,0.01639344262295082,0.006578947368421052,2.4918032786885247,72,4,0.05555555555555555,0.015151515151515152,3.6666666666666665,1.15,1.2,45,2,3,2.4918032786885247,3.6666666666666665,13,13,2.4938388625592416,4.08411214953271,False,Robust
49,881,10,0.011350737797956867,219,0.1990909090909091,10,0.045662100456621,4.0228310502283104,0.5,4.167464114832536,0.002275466336754496,88,5,0.056818181818181816,0.012861736334405145,4.417613636363637,58,1,0.017241379310344827,0.006514657980456026,2.646551724137931,73,4,0.0547945205479452,0.015209125475285171,3.602739726027397,1.15,1.25,35,2,3,2.646551724137931,3.602739726027397,13,13,2.4938388625592416,4.107981220657277,False,Robust
29,889,10,0.01124859392575928,211,0.1918181818181818,10,0.04739336492890995,4.213270142180095,0.5,4.373134328358209,0.0016839705775123827,83,5,0.060240963855421686,0.012658227848101266,4.759036144578313,57,1,0.017543859649122806,0.006493506493506494,2.701754385964912,71,4,0.056338028169014086,0.01509433962264151,3.732394366197183,1.15,1.25,40,2,3,2.701754385964912,3.732394366197183,13,13,2.6157635467980294,4.307317073170731,False,Robust
32,887,10,0.011273957158962795,213,0.19363636363636363,10,0.046948356807511735,4.164319248826291,0.5,4.320197044334975,0.0018181619632452158,84,5,0.05952380952380952,0.012698412698412698,4.6875,58,1,0.017241379310344827,0.006514657980456026,2.646551724137931,71,4,0.056338028169014086,0.01509433962264151,3.732394366197183,1.15,1.25,45,2,3,2.646551724137931,3.732394366197183,13,13,2.6,4.256038647342995,False,Robust
124,887,11,0.012401352874859075,213,0.19363636363636363,9,0.04225352112676056,3.407170294494238,0.45,3.513368983957219,0.0074930316572158154,85,5,0.058823529411764705,0.012738853503184714,4.617647058823529,57,1,0.017543859649122806,0.006493506493506494,2.701754385964912,71,3,0.04225352112676056,0.018867924528301886,2.23943661971831,1.2,1.15,35,2,3,2.23943661971831,2.701754385964912,13,13,1.957871396895787,3.709859154929577,False,Robust
