sample_id,sample_label,sample_start,sample_end,model_id,model_label,policy_id,policy_label,elevated_multiplier,spread_width_points,contract_multiplier,credit_points,scheduled_entries,elevated_entries,elevated_entry_share,elevated_failures,break_even_credit_points,elevated_full_size_pnl_points,position_equivalent_entries,exposure_retained,risk_points_deployed,credit_points_received,intrinsic_points_paid,total_pnl_points,total_pnl_dollars,average_pnl_points_per_scheduled_entry,average_pnl_points_per_position_equivalent,pnl_to_total_max_risk,losing_trade_count,weighted_losing_exposure,worst_trade_points,maximum_drawdown_points,maximum_drawdown_dollars,worst_4_trade_sum_points,worst_4_trade_sum_dollars,full_size_total_pnl_points,full_size_total_pnl_dollars,full_size_credit_points_received,full_size_intrinsic_points_paid,full_size_risk_points_deployed,full_size_maximum_drawdown_points,full_size_worst_4_trade_sum_points,pnl_difference_vs_full_size_points,pnl_difference_vs_full_size_dollars,credit_points_foregone,intrinsic_points_avoided,risk_exposure_reduction,drawdown_reduction_points,drawdown_reduction_percent,worst_4_trade_improvement_points
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,full_size,Full size,1.0,150.0,2.0,10.0,805,100,0.12422360248447205,4,4.650463000000002,534.9536999999998,805.0,1.0,112700.0,8050.0,1431.3048000000056,6618.695199999995,13237.39039999999,8.221981614906825,8.221981614906825,0.05872844010647733,12,12.0,-140.0,300.0,600.0,-260.0,-520.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_75_percent,Reduce elevated size to 75%,0.75,150.0,2.0,10.0,805,100,0.12422360248447205,4,4.650463000000002,534.9536999999998,780.0,0.968944099378882,109200.0,7800.0,1315.0432250000056,6484.956774999994,12969.913549999988,8.055846925465831,8.31404714743589,0.0593860510531135,12,11.0,-140.0,312.5,625.0,-262.5,-525.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-133.73842500000046,-267.4768500000009,250.0,116.261575,0.03105590062111796,-12.5,-0.041666666666666664,-2.5
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_50_percent,Reduce elevated size to 50%,0.5,150.0,2.0,10.0,805,100,0.12422360248447205,4,4.650463000000002,534.9536999999998,755.0,0.937888198757764,105700.0,7550.0,1198.7816500000054,6351.218349999995,12702.43669999999,7.889712236024838,8.412209735099331,0.060087212393566646,12,10.0,-140.0,325.0,650.0,-265.0,-530.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-267.47685,-534.9537,500.0,232.52315000000021,0.06211180124223603,-25.0,-0.08333333333333333,-5.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,reduce_to_25_percent,Reduce elevated size to 25%,0.25,150.0,2.0,10.0,805,100,0.12422360248447205,4,4.650463000000002,534.9536999999998,730.0,0.906832298136646,102200.0,7300.0,1082.5200750000054,6217.479924999994,12434.959849999988,7.723577546583844,8.517095787671225,0.06083639848336589,12,9.0,-140.0,337.5,675.0,-267.5,-535.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-401.2152750000005,-802.430550000001,750.0,348.7847250000002,0.09316770186335399,-37.5,-0.125,-7.5
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,both_atr_expansions,Both ATR expansion flags,skip_elevated,Skip elevated entries,0.0,150.0,2.0,10.0,805,100,0.12422360248447205,4,4.650463000000002,534.9536999999998,705.0,0.8757763975155279,98700.0,7050.0,966.2585000000054,6083.741499999995,12167.48299999999,7.557442857142851,8.62942056737588,0.06163871833839914,8,8.0,-140.0,350.0,700.0,-270.0,-540.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-534.9537,-1069.9074,1000.0,465.0463000000002,0.12422360248447206,-50.0,-0.16666666666666666,-10.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",full_size,Full size,1.0,150.0,2.0,10.0,805,138,0.17142857142857143,5,4.4568572463768135,764.9536999999998,805.0,1.0,112700.0,8050.0,1431.3048000000056,6618.695199999995,13237.39039999999,8.221981614906825,8.221981614906825,0.05872844010647733,12,12.0,-140.0,300.0,600.0,-260.0,-520.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_75_percent,Reduce elevated size to 75%,0.75,150.0,2.0,10.0,805,138,0.17142857142857143,5,4.4568572463768135,764.9536999999998,770.5,0.9571428571428572,107870.0,7705.0,1277.5432250000056,6427.456774999994,12854.913549999988,7.98441835403726,8.341929623621018,0.059585211597292985,12,10.75,-140.0,285.0,570.0,-262.5,-525.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-191.23842500000046,-382.4768500000009,345.0,153.761575,0.042857142857142816,15.0,0.05,-2.5
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_50_percent,Reduce elevated size to 50%,0.5,150.0,2.0,10.0,805,138,0.17142857142857143,5,4.4568572463768135,764.9536999999998,736.0,0.9142857142857143,103040.0,7360.0,1123.7816500000054,6236.218349999995,12472.43669999999,7.746855093167695,8.473122758152167,0.06052230541537262,12,9.5,-140.0,280.0,560.0,-265.0,-530.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-382.47685,-764.9537,690.0,307.5231500000002,0.08571428571428574,20.0,0.06666666666666667,-5.0
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",reduce_to_25_percent,Reduce elevated size to 25%,0.25,150.0,2.0,10.0,805,138,0.17142857142857143,5,4.4568572463768135,764.9536999999998,701.5,0.8714285714285714,98210.0,7015.0,970.0200750000054,6044.979924999994,12089.959849999988,7.509291832298129,8.617220135424082,0.06155157239588631,12,8.25,-140.0,280.0,560.0,-267.5,-535.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-573.7152750000005,-1147.430550000001,1035.0,461.2847250000002,0.12857142857142856,20.0,0.06666666666666667,-7.5
forward_test,Pooled chronological test period,2011-01-07,2026-06-05,full_three_factor_score,"Full score, at least 2 of 3 flags",skip_elevated,Skip elevated entries,0.0,150.0,2.0,10.0,805,138,0.17142857142857143,5,4.4568572463768135,764.9536999999998,667.0,0.8285714285714286,93380.0,6670.0,816.2585000000054,5853.741499999995,11707.48299999999,7.271728571428564,8.776224137931026,0.0626873152709359,7,7.0,-140.0,280.0,560.0,-270.0,-540.0,6618.695199999995,13237.39039999999,8050.0,1431.3048000000056,112700.0,300.0,-260.0,-764.9537,-1529.9074,1380.0,615.0463000000002,0.17142857142857137,20.0,0.06666666666666667,-10.0
